field,precision,recall,f1,accuracy,non_null_accuracy,tp,tn,fp,fn,total_samples,non_null_samples,null_samples,exact_matches,non_null_matches
first_name,0.9714285714285714,0.967479674796748,0.969450101832994,0.8229508196721311,0.8350877192982457,238,13,7,8,305,285,20,251,238
family_name,0.9745762711864406,0.9543568464730291,0.9643605870020964,0.7901639344262295,0.7986111111111112,230,11,6,11,305,288,17,241,230
title_name,0.75,0.9130434782608695,0.8235294117647057,0.8131147540983606,0.8936170212765957,126,122,42,12,305,141,164,248,126
address_street,0.9752475247524752,0.9656862745098039,0.9704433497536946,0.7114754098360656,0.7035714285714286,197,20,5,7,305,280,25,217,197
address_house_no,0.9725490196078431,0.96875,0.9706457925636007,0.8852459016393442,0.8985507246376812,248,22,7,8,305,276,29,270,248
address_additional,0.0,0.0,0.0,0.980327868852459,0.0,0,299,1,5,305,5,300,299,0
address_zip,0.9809885931558935,0.9809885931558935,0.9809885931558935,0.9180327868852459,0.9280575539568345,258,22,5,5,305,278,27,280,258
address_city,0.9824561403508771,0.9572649572649573,0.9696969696969696,0.7967213114754098,0.7943262411347518,224,19,4,10,305,282,23,243,224
SV_number,0.8791946308724832,0.8851351351351351,0.8821548821548821,0.6786885245901639,0.6208530805687204,131,76,18,17,305,211,94,207,131
tax_id,0.9329268292682927,0.9329268292682927,0.9329268292682927,0.7573770491803279,0.7083333333333334,153,78,11,11,305,216,89,231,153
salary_month,0.9510204081632653,0.932,0.9414141414141414,0.8262295081967214,0.8503649635036497,233,19,12,17,305,274,31,252,233
gross_payment,0.9661016949152542,0.890625,0.9268292682926829,0.7967213114754098,0.7533039647577092,171,72,6,21,305,227,78,243,171
net_payment,0.9368421052631579,0.9081632653061225,0.922279792746114,0.780327868852459,0.7639484978540773,178,60,12,18,305,233,72,238,178
real_payment,0.8765432098765432,0.8402366863905325,0.8580060422960725,0.7442622950819672,0.71,142,85,20,27,305,200,105,227,142
bank_account,0.8727272727272727,0.9504950495049505,0.909952606635071,0.7016393442622951,0.5549132947976878,96,118,14,5,305,173,132,214,96
bank_name,0.8585858585858586,0.7727272727272727,0.8133971291866028,0.7081967213114754,0.53125,85,131,14,25,305,160,145,216,85
company_name,0.12903225806451613,0.11764705882352941,0.12307692307692307,0.7770491803278688,0.08888888888888889,4,233,27,30,305,45,260,237,4
